Country,EventId,City,Date,Time,fir_filled_against_report,fir_number,Postal_zipcode,Latitude,Longitude,Street_name,assaliants,ocassion,target,witnesses,Injured,casualties,description,weapon_use,shooting,crime_type,Hour,Year,Month,Day
Pakistan,KHI-3276,Karachi,8/13/2016,11:39 PM,No,NA,75500,31.3944167,74.1575405,"Beijing Blvd, Lahore, Pakistan",3,Public Holiday,Political Personnel,5,7,7,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Yes,Yes,Assualt,23,2016,8,Sat
Pakistan,KHI-3277,Karachi,12/2/2014,8:31 PM,No,NA,74900,31.5032383,74.3246538,"Ali Block, Lahore, Pakistan",9,Public Holiday,Political Personnel,3,6,10,Fusce consequat. Nulla nisl. Nunc nisl.,Yes,Yes,Assualt,20,2014,12,Tues
Pakistan,KHI-3278,Karachi,9/2/2015,6:54 AM,Yes,8303,74900,31.5528813,74.401566,"Ahmad Hassan Road, Lahore, Pakistan",2,Public Holiday,Political Personnel,1,2,1,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Yes,Yes,Mugging,6,2015,9,Wed
Pakistan,KHI-3279,Karachi,6/25/2013,12:16 PM,Yes,67172,75500,31.4950692,74.3714252,"Ahmad Street, Lahore, Pakistan",10,Public Holiday,Political Personnel,1,8,9,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,No,Yes,Assualt,12,2013,6,Tues
Pakistan,KHI-3280,Karachi,2/1/2014,2:17 PM,No,NA,74900,31.5020419,74.2825964,"C Lane, University of The Punjab, Lahore, Pakistan",7,Public Holiday,Political Personnel,1,5,9,Fusce consequat. Nulla nisl. Nunc nisl.,Yes,Yes,Assualt,14,2014,2,Sat
Pakistan,KHI-3281,Karachi,11/29/2012,3:01 PM,No,NA,74900,31.586583,74.377651,"13 Baghbanpura, Lahore, Pakistan",8,Public Holiday,Political Personnel,10,10,7,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Yes,Yes,Snatching,15,2012,11,Thurs
Pakistan,KHI-3282,Karachi,8/13/2015,9:39 AM,Yes,50287,74900,31.543449,74.3494579,"Canal Bank Road, Lahore, Pakistan",4,Public Holiday,Political Personnel,5,4,8,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Yes,Yes,Assualt,9,2015,8,Thurs
Pakistan,KHI-3283,Karachi,11/2/2016,5:30 PM,Yes,88580,74200,31.5488667,74.2813699,"319-F Gulshan-e-Ravi Road, Lahore, Pakistan",10,Public Holiday,Political Personnel,6,9,2,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Yes,Yes,Assualt,17,2016,11,Wed
Pakistan,KHI-3284,Karachi,7/6/2012,12:19 AM,No,NA,75500,31.4312704,74.2557139,"Block G5, Lahore, Pakistan",1,Public Holiday,Political Personnel,1,4,5,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",No,No,Assualt,0,2012,7,Fri
Pakistan,KHI-3285,Karachi,10/27/2014,7:32 AM,Yes,19678,75500,31.5233636,74.3576476,"Block N, Lahore, Pakistan",6,Public Holiday,Political Personnel,2,4,2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Yes,Yes,Hit and Run,7,2014,10,Mon
Pakistan,KHI-3286,Karachi,12/3/2014,2:38 AM,No,NA,74900,31.4950774,74.296971,"Agri Road, University of The Punjab, Lahore, Pakistan",4,Public Holiday,Political Personnel,1,10,6,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Yes,Yes,Assualt,2,2014,12,Wed
Pakistan,KHI-3287,Karachi,2/18/2012,9:54 PM,Yes,36372,74200,31.5232668,74.3789649,"Bus Stop, Tufail Road, Lahore, Pakistan",4,Public Holiday,Political Personnel,9,1,5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Yes,No,Assualt,21,2012,2,Sat
Pakistan,KHI-3288,Karachi,11/21/2014,12:48 AM,Yes,46647,74900,31.4942884,74.2718467,"105 D Ahmed Yar Block, Lahore, Pakistan",5,Public Holiday,Political Personnel,4,4,6,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Yes,No,Snatching,0,2014,11,Fri
Pakistan,KHI-3289,Karachi,6/7/2014,1:23 PM,No,NA,74900,31.4609971,74.2798715,"286 Block F1, Lahore, Pakistan",6,Public Holiday,Political Personnel,10,3,2,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Yes,Yes,Assualt,13,2014,6,Sat
Pakistan,KHI-3290,Karachi,5/4/2014,10:04 PM,Yes,75954,75500,31.5476711,74.3018209,"Arjun Street, Lahore, Pakistan",4,Public Holiday,Political Personnel,8,6,7,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Yes,Yes,Kidnapping,22,2014,5,Sun
Pakistan,KHI-3291,Karachi,4/1/2016,7:45 PM,No,NA,75500,31.4778194,74.3876661,"Charar Pind Bus Stop, Lahore, Pakistan",1,Public Holiday,Political Personnel,1,8,8,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Yes,Yes,Snatching,19,2016,4,Fri
Pakistan,KHI-3292,Karachi,4/27/2016,9:51 PM,Yes,6702,75500,31.585653,74.3907116,"Chekhanwala Stop, Grand Trunk Road, Lahore, Pakistan",2,Public Holiday,Political Personnel,5,10,6,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Yes,Yes,Snatching,21,2016,4,Wed
Pakistan,KHI-3293,Karachi,12/28/2013,2:08 AM,Yes,11506,74200,31.4617153,74.3097854,"Al-Madina Road, Lahore 54770, Pakistan",5,Public Holiday,Political Personnel,10,1,4,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",No,Yes,Assualt,2,2013,12,Sat
Pakistan,KHI-3294,Karachi,3/3/2012,6:54 PM,Yes,87053,74900,31.4981324,74.3043504,"Canal Bank Road, University of The Punjab, Lahore, Pakistan",3,Public Holiday,Political Personnel,6,8,3,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Yes,Yes,Kidnapping,18,2012,3,Sat
Pakistan,KHI-3295,Karachi,5/22/2016,5:08 PM,Yes,26076,75500,31.438766,74.2913209,"2 R Block PGECHS, Lahore, Pakistan",6,Public Holiday,Political Personnel,5,5,4,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Yes,Yes,Snatching,17,2016,5,Sun
Pakistan,KHI-3296,Karachi,5/19/2016,12:04 AM,Yes,967,74900,31.5481704,74.3268616,"58/3 Lawrence Road, Lahore, Pakistan",7,Public Holiday,Govt Agency,3,7,5,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Yes,No,Hit and Run,0,2016,5,Thurs
Pakistan,KHI-3297,Karachi,3/11/2013,4:11 AM,Yes,33589,75500,31.53497,74.2948868,"Bastami Road Samanabad Bastami Road, Lahore 54500, Pakistan",6,Public Holiday,Govt Agency,8,9,10,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Yes,Yes,Hit and Run,4,2013,3,Mon
Pakistan,KHI-3298,Karachi,5/24/2014,9:08 PM,Yes,11030,74900,31.4693786,74.3250579,"Ahmed Jawwad Model Colony Main Road, Lahore, Pakistan",7,Public Holiday,Govt Agency,8,4,2,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Yes,Yes,Kidnapping,21,2014,5,Sat
Pakistan,KHI-3299,Karachi,8/4/2015,8:32 PM,Yes,39537,75500,31.5032222,74.3116951,"Campus Pull Bus Stop, Canal Bank Road, University of The Punjab, Lahore, Pakistan",9,Public Holiday,Govt Agency,7,8,6,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Yes,No,Kidnapping,20,2015,8,Tues
Pakistan,KHI-3300,Karachi,8/8/2016,1:27 AM,Yes,20430,75500,31.5046529,74.3152507,"39 Ahmed Block, Lahore, Pakistan",3,Public Holiday,Govt Agency,1,5,5,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Yes,No,Assualt,1,2016,8,Mon
Pakistan,KHI-3301,Karachi,7/19/2014,4:47 PM,Yes,48777,75500,31.5119623,74.3825113,"Arif Jan Road, Lahore, Pakistan",8,Public Holiday,Govt Agency,7,9,10,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Yes,Yes,Assualt,16,2014,7,Sat
Pakistan,KHI-3302,Karachi,6/16/2016,2:12 AM,No,NA,74900,31.559466,74.324405,"Charing Cross, Lahore, Pakistan",6,Public Holiday,Govt Agency,9,4,7,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Yes,Yes,Snatching,2,2016,6,Thurs
Pakistan,KHI-3303,Karachi,2/2/2017,11:01 AM,Yes,12055,75500,31.6014236,74.3616798,"China Scheme, Lahore, Pakistan",4,Public Holiday,Govt Agency,10,8,9,In congue. Etiam justo. Etiam pretium iaculis justo.,Yes,Yes,Assualt,11,2017,2,Thurs
