,BlockAddress,City,Complaint_ID,CrimeDescription,CrimeStatus,Crime_ID,District,Latitude,LevelofOffense,Longitude,NumOfActors,NumOfVictims,Premises,ReportDate,State,Timestamp
0,Azam Basti,Karachi,987199.0,Assault,COMPLETED,,District East,24.8549379639,VIOLATION,67.0732641143,4,7,RESIDENCE,12/11/2013,Sindh,2013-12-11 19:50:00
1,Saudabad,Karachi,410067.0,Car Stolen,COMPLETED,,District Malir,24.8988427005,MISDEMEANOR,67.1743225069,7,8,STREET,02/28/2015,Sindh,2015-02-28 04:40:00
2,P.I.B. Colony�,Karachi,834852.0,Narcotics,COMPLETED,,District East,24.9003133206,MISDEMEANOR,67.0575372686,5,2,STREET,04/11/2014,Sindh,2014-04-11 13:10:00
3,Old Haji Camp,Karachi,813148.0,Theft,COMPLETED,,District South,24.8582366577,MISDEMEANOR,66.9980145771,4,8,STREET,04/28/2014,Sindh,2014-04-21 11:30:00
4,Manzoor Colony,Karachi,468361.0,Theft,COMPLETED,,District East,24.8521633185,MISDEMEANOR,67.0885655524,5,6,STREET,01/07/2015,Sindh,2015-01-07 13:35:00
5,Ibraheem Hyderi ,Karachi,899079.0,Assault,COMPLETED,,District Malir,24.8000584742,VIOLATION,67.1363234455,6,6,RESIDENCE,02/21/2014,Sindh,2014-02-21 17:15:00
6,Gharibabad,Karachi,127672.0,Burglary,COMPLETED,,District Malir,24.9066899793,FELONY,67.0701469659,4,4,RESIDENCE,09/24/2015,Sindh,2015-09-07 17:00:00
7,Sultanabad ,Karachi,159888.0,Corruption and Bribery,COMPLETED,,District South,24.8324676668,FELONY,67.0314059356,7,1,RESIDENCE,09/01/2015,Sindh,2015-08-25 21:00:00
8,Jafar-E-Tayyar,Karachi,932806.0,Assault,COMPLETED,,District Malir,24.8814786811,FELONY,67.1936559043,6,8,RESIDENCE,01/24/2014,Sindh,2014-01-24 19:35:00
9,Fatima Jinnah Colony,Karachi,10748.0,Assault,COMPLETED,,District Central,24.8817802563,MISDEMEANOR,67.0833180712,2,5,RESIDENCE,12/22/2015,Sindh,2015-12-22 11:50:00
10,City Railway Station,Karachi,351822.0,Burglary,COMPLETED,,District South,24.8509048018,FELONY,66.986045904,5,7,RESIDENCE,04/16/2015,Sindh,2015-04-16 08:00:00
11,Nazimabad No.01,Karachi,451224.0,Vandalism,COMPLETED,,District Central,24.9339973511,FELONY,67.0345154147,4,3,STREET,01/22/2015,Sindh,2015-01-21 21:30:00
12,Jafar-E-Tayyar,Karachi,553992.0,Terrorism,COMPLETED,,District Malir,24.8725860484,MISDEMEANOR,67.2105704112,7,6,PUBLIC BUILDING,10/27/2014,Sindh,2014-10-27 07:00:00
13,Paposh Nagar,Karachi,696545.0,Car Stolen,COMPLETED,,District Central,24.9287146574,FELONY,67.0348831681,3,1,STREET,07/19/2014,Sindh,2014-07-19 17:00:00
14,Garden�,Karachi,795395.0,Theft,COMPLETED,,District South,24.8801061333,FELONY,67.0409763069,6,8,STREET,05/11/2014,Sindh,2014-04-07 19:00:00
15,Bhutto Nagar�,Karachi,748969.0,Assault,COMPLETED,,District Korangi,24.9582479531,FELONY,67.1433945869,3,9,STREET,06/12/2014,Sindh,2014-06-12 17:30:00
16,Gaghar,Karachi,978939.0,Assault,COMPLETED,,District Malir,24.8393976472,VIOLATION,67.3415869725,7,1,RESIDENCE,12/18/2013,Sindh,2013-12-18 15:00:00
17,Paposh Nagar,Karachi,459179.0,Rape,COMPLETED,,District Central,24.9319531052,MISDEMEANOR,67.0040074726,2,1,UNDERPASS,01/15/2015,Sindh,2015-01-15 16:40:00
18,Farooq-e-Azam,Karachi,396755.0,Corruption and Bribery,COMPLETED,,District Central,24.9403659737,VIOLATION,67.0633114882,5,2,STREET,03/11/2015,Sindh,2015-03-11 20:30:00
19,Khokarapar ,Karachi,421898.0,Theft,COMPLETED,,District Malir,24.8998352819,MISDEMEANOR,67.2237945608,7,4,HOSPITAL/ CLINIC,02/18/2015,Sindh,2015-02-10 13:30:00
20,Metrovill,Karachi,625293.0,Assault,COMPLETED,,District East,24.9164087576,MISDEMEANOR,66.9915231105,5,4,STREET,09/07/2014,Sindh,2014-09-06 14:00:00
21,Saudabad,Karachi,491965.0,Theft,COMPLETED,,District Malir,24.8844118241,FELONY,67.2024523779,2,1,PUBLIC BUILDING,12/16/2014,Sindh,2014-11-25 17:00:00
22,Safoora Goth,Karachi,705300.0,Terrorism,COMPLETED,,District East,24.946231036,MISDEMEANOR,67.1470421802,5,3,RESIDENCE,07/13/2014,Sindh,2014-07-13 09:00:00
23,Central Jacob Lines,Karachi,417459.0,Theft,COMPLETED,,District East,24.8418152482,FELONY,67.0517335018,2,5,RESIDENCE,02/22/2015,Sindh,2015-02-14 18:00:00
24,Khokarapar ,Karachi,887253.0,Theft,COMPLETED,,District Malir,24.9096017538,FELONY,67.2039389326,5,8,RESIDENCE,03/03/2014,Sindh,2014-02-22 21:00:00
25,Landhi,Karachi,419404.0,Terrorism,COMPLETED,,District Malir,24.8445489862,MISDEMEANOR,67.1853296614,6,6,RESIDENCE,02/20/2015,Sindh,2015-02-19 13:30:00
26,Chanesar Goth,Karachi,89226.0,Narcotics,COMPLETED,,District East,24.8531448194,MISDEMEANOR,67.0447175021,2,9,STREET,10/22/2015,Sindh,2015-10-22 18:23:00
27,Sultanabad ,Karachi,816995.0,Theft,COMPLETED,,District South,24.8346245269,MISDEMEANOR,66.9985637991,7,3,STREET,04/25/2014,Sindh,2014-04-24 14:30:00
28,Mujahid Colony,Karachi,425911.0,Assault,COMPLETED,,District Central,24.9235625753,MISDEMEANOR,66.9958755418,3,6,STREET,02/14/2015,Sindh,2015-02-13 23:50:00
29,Agra Taj Colony,Karachi,417458.0,Assault,COMPLETED,,District South,24.8776421421,FELONY,66.9756571961,6,8,RESIDENCE,02/22/2015,Sindh,2015-02-14 20:00:00
30,Gharibabad,Karachi,155913.0,Theft,COMPLETED,,District Malir,24.9079500073,MISDEMEANOR,67.0700084659,7,6,SUPERMARKET/ STORE,09/03/2015,Sindh,2015-09-03 18:01:00
31,Garden East,Karachi,811734.0,Rape,COMPLETED,,District East,24.8888477931,FELONY,67.0355215834,6,4,RESIDENCE,04/29/2014,Sindh,2014-04-27 21:00:00
32,Pechs I,Karachi,143674.0,Mugging,COMPLETED,,District East,24.8757192253,MISDEMEANOR,67.0786940447,2,9,STREET,09/12/2015,Sindh,2015-09-12 15:30:00
33,Khokarapar ,Karachi,985471.0,Mugging,COMPLETED,,District Malir,24.906915707,MISDEMEANOR,67.2192668605,2,2,RESIDENCE,12/13/2013,Sindh,2013-12-12 16:00:00
34,Jut Line,Karachi,419592.0,Terrorism,COMPLETED,,District East,24.8744069354,MISDEMEANOR,67.0573551031,2,5,SUPERMARKET/ STORE,02/20/2015,Sindh,2015-02-01 00:00:00
35,Civic Centre,Karachi,671234.0,Theft,COMPLETED,,District East,24.905271332,MISDEMEANOR,67.0929424487,7,8,OTHER,08/06/2014,Sindh,2014-08-05 18:00:00
36,Saddar ,Karachi,948580.0,Theft,COMPLETED,,District South,24.8472978177,FELONY,67.0032478421,6,6,SUPERMARKET/ STORE,01/12/2014,Sindh,2014-01-12 14:00:00
37,Jut Line,Karachi,69216.0,Assault,COMPLETED,,District East,24.8573897368,FELONY,67.0561222221,2,7,RESIDENCE,11/06/2015,Sindh,2015-11-06 21:15:00
38,Mujahid Colony,Karachi,836133.0,Robbery,COMPLETED,,District Central,24.9368835825,FELONY,67.0141235903,6,9,STREET,04/10/2014,Sindh,2014-04-10 15:30:00
39,PechsII�,Karachi,333928.0,Robbery,COMPLETED,,District East,24.9188076581,FELONY,67.0515059523,7,6,PARK/PLAYGROUND,04/29/2015,Sindh,2015-04-29 18:46:00
40,Haryana Colony,Karachi,400296.0,Terrorism,COMPLETED,,District West,24.9363083227,MISDEMEANOR,66.9720548407,4,5,OTHER,03/09/2015,Sindh,2015-03-08 13:00:00
41,Akhtar Colony,Karachi,354664.0,Assault,COMPLETED,,District East,24.8387804037,FELONY,67.0891043267,7,6,SCHOOL,04/14/2015,Sindh,2015-04-14 13:56:00
42,Ibraheem Hyderi ,Karachi,31587.0,Assault,COMPLETED,,District Malir,24.8024567929,VIOLATION,67.154823794,3,4,STREET,12/06/2015,Sindh,2015-12-06 13:30:00
